航班,始发地,目的地,经停,计划到达,航站楼,状态
3U8692,丽江,成都,,22:05,T1,计划22:05到达
CA462,大阪关西,成都,,22:05,T1,计划22:05到达
ZH9409,深圳,成都,,22:10,T2,计划22:10到达
CA4110,北京,成都,,22:10,T2,计划22:10到达
MI938,新加坡樟宜,成都,,22:10,T1,计划22:10到达
MU5320,深圳,成都,,22:15,T2,计划22:15到达
MU5654,烟台,成都,,22:20,T2,计划22:20到达
MU2413,兰州,成都,,22:20,T2,计划22:20到达
EU2274,金昌,成都,,22:20,T2,计划22:20到达
CA4244,阿克苏温宿,成都,,22:20,T2,计划22:20到达
QW9771,青岛,成都,,22:25,T2,计划22:25到达
NH947,东京成田,成都,,22:25,T1,计划22:25到达
8L9610,海口,成都,,22:35,T2,计划22:35到达
CA4040,长春,成都,,22:35,T2,计划22:35到达
MU5411,上海虹桥,成都,,22:35,T2,计划22:35到达
MU5413,上海虹桥,成都,,22:40,T2,计划22:40到达
CA472,曼谷素万那普,成都,,22:40,T1,计划22:40到达
3U8892,北京,成都,,22:40,T1,计划22:40到达
8L866,西哈努克,成都,,22:40,T1,计划22:40到达
TV9906,西安,成都,,22:45,T2,计划22:45到达
3U8912,杭州,成都,,22:50,T1,计划22:50到达
MU5855,昆明,成都,,22:50,T2,计划22:50到达
MU2472,兰州,成都,,22:50,T2,计划22:50到达
MU2556,厦门,成都,,22:55,T2,计划22:55到达
3U8080,甲米,成都,,22:55,T1,计划22:55到达
CA4384,深圳,成都,,22:55,T2,计划22:55到达
3U8966,上海浦东,成都,,22:55,T1,计划22:55到达
OZ323,首尔仁川,成都,,23:00,T1,计划23:00到达
CA4106,北京,成都,,23:00,T2,计划23:00到达
EU2248,福州,成都,,23:05,T2,计划23:05到达
MU5280,长春,成都,,23:05,T2,计划23:05到达
MU5496,杭州,成都,,23:10,T2,计划23:10到达
CA4304,广州,成都,,23:10,T2,计划23:10到达
MU2620,温州,成都,,23:15,T2,计划23:15到达
3U8174,南京,成都,,23:15,T1,计划23:15到达
CA4208,兰州,成都,,23:20,T2,计划23:20到达
CA4230,福州,成都,,23:20,T2,计划23:20到达
ZH9443,广州,成都,,23:25,T2,计划23:25到达
MU2006,名古屋,成都,,23:25,TM,计划23:25到达
