航班,始发地,目的地,经停,计划到达,航站楼,状态
TV9870,重庆,成都,,11:20,T2,已于11:25到达
TV6076,邦达,成都,,11:20,T2,已于10:09到达
TV9881,拉萨,成都,,11:25,T2,已于11:32到达
CA3965,拉萨,成都,,11:25,T2,已于11:32到达
CZ3767,珠海,成都,,11:30,T2,已于11:27到达
MF1573,珠海,成都,,11:30,T2,已于11:27到达
3U8426,邯郸,成都,,11:30,T1,已于11:28到达
EU7030,邯郸,成都,,11:30,T1,已于11:28到达
CZ6941,乌鲁木齐,成都,,11:35,T2,已于11:20到达
3U3147,乌鲁木齐,成都,,11:35,T2,已于11:20到达
MF4563,乌鲁木齐,成都,,11:35,T2,已于11:20到达
MU4585,乌鲁木齐,成都,,11:35,T2,已于11:20到达
MU2217,西宁,成都,,11:40,T2,已于11:11到达
MU2464,武汉,成都,,11:45,T2,已于11:30到达
3U5048,武汉,成都,,11:45,T2,已于11:30到达
CZ3437,广州,成都,,11:45,T2,已于12:03到达
3U3043,广州,成都,,11:45,T2,已于12:03到达
MF1281,广州,成都,,11:45,T2,已于12:03到达
3U8694,林芝,成都,,11:45,T1,已于11:40到达
CZ4970,林芝,成都,,11:45,T1,已于11:40到达
EU7046,林芝,成都,,11:45,T1,已于11:40到达
3U8658,拉萨,成都,,11:50,T1,已于11:47到达
CZ4964,拉萨,成都,,11:50,T1,已于11:47到达
MU4618,拉萨,成都,,11:50,T1,已于11:47到达
3U8632,洛杉矶,成都,,11:50,T1,已于11:35到达
MU3946,洛杉矶,成都,,11:50,T1,已于11:35到达
3U8646,广州,成都,,11:55,T1,已于12:12到达
MU5843,昆明,成都,,12:05,T2,已于11:54到达
3U5126,昆明,成都,,12:05,T2,已于11:54到达
MF3070,昆明,成都,,12:05,T2,已于11:54到达
CA4410,邦达,成都,,12:10,T2,已于12:00到达
ZH4410,邦达,成都,,12:10,T2,已于12:00到达
CA4310,广州,成都,,12:15,T2,已于16:27到达
